Country,Year,Budget Deficit/Surplus,Capital Expenditure,Consumer Price Index (CPI),Defence Expenditure,Education Expenditure,Expenditure,Exports,Food Inflation,Food Inflation YoY,GDP Growth Rate,GDP per Capita,GDP per capita,Government Debt,Health Expenditure,Imports,Inflation Rate,Interest Rate,Labour Force,Nominal GDP,Population,Real GDP,Revenue,Tax Revenue,Unemployment Rate,Value Added Tax (VAT)
Algeria,1977,,,,,,,6,,,,,,,,-6.21,,,,,,,,,,
Algeria,1978,,,,,,,6.3,,,,,,,,-7.32,,,,,,,,,,
Algeria,1979,,,,,,,9.5,,,,,,,,-7.82,,,,,,,,,,
Algeria,1980,,,,,,,13.7,,,,,,,,-9.61,,,,,,,,,,
Algeria,1981,,,,,,,14.1,,,,,,,,-10.11,,,,,,,,,,
Algeria,1982,,,,,,,13.5,,,,,,,,-9.92,,,,,,,,,,
Algeria,1983,,,,,,,12.7,,,,,,,,-9.54,,,,,,,,,,
Algeria,1984,,,,,,,12.8,,,,,,,,-9.24,,,,,,,,,,
Algeria,1985,,,,,,,13,,,,,,,,-8.81,,,,,,,,,,
Algeria,1986,,,,,,,8.1,,,,,,,,-8.53,,,,,,,,,,
Algeria,1987,,,,,,,9,,,,,,,,-7.27,,,,,,,,,,
Algeria,1988,,,,,,,7.6,,,,,,,,-7.69,,,,,,,,,,
Algeria,1989,,,,,,,9.6,,,,,,,,-9.47,,,,,,,,,,
Algeria,1990,,,,,,,12.9,,,,,,,,-9.77,,,,,,,,,,
Algeria,1991,,,,,,,12.4,,,,,,,,-7.77,,,,,,,,,,
Algeria,1992,,,,,,,11.5,,,,,,,,-8.3,,,,,,,,,,
Algeria,1993,,,,,,,10.4,,,,,,,,-7.99,,,,,,,,,,
Algeria,1994,,,,,,,8.9,,,,,,,,-9.15,,,,,,,,,,
Algeria,1995,,,,,,,10.3,,,,,,,,-10.1,,,,,,,,,,
Algeria,1996,,,,,,,13.2,,,,,,,,-9.09,,,,,,,,,,
Algeria,1997,,,,,,,13.8,,,,,,,,-8.13,,,,,,,,,,
Algeria,1998,,,,,,,10.1,,,,,,,,-8.63,,,,,,,,,,
